Season,Round,home_EOL,away_EOL,home_result
2019,15,61,89,1
2019,15,74,67,-1
2019,15,66,64,0
2019,15,88,68,1
2019,15,65,91,-1
2019,16,69,61,1
2019,16,70,66,0
2019,16,64,55,0
2019,16,68,77,1
2019,16,89,74,1
2019,16,84,65,1
2019,16,67,65,1
2019,16,65,88,1
2019,16,91,62,1
2019,17,61,84,0
2019,17,55,89,-1
2019,17,65,64,0
2019,17,77,66,1
2019,17,88,91,0
2019,17,65,69,-1
2019,17,62,68,-1
2019,17,66,65,1
2019,17,74,70,0
2019,18,62,84,-1
2019,18,65,91,-1
2019,18,77,89,-1
2019,18,68,65,0
2019,18,88,66,1
2019,18,55,69,-1
2019,18,65,70,1
2019,18,65,61,-1
2019,18,74,64,0
2019,19,68,74,-1
2019,19,67,62,1
2019,19,65,65,-1
2019,19,63,77,-1
2019,19,62,65,-1
2019,19,89,65,1
2019,19,84,56,1
2019,19,69,88,0
2019,19,91,68,1
2019,20,74,65,0
2019,20,65,68,1
2019,20,65,63,1
2019,20,65,84,-1
2019,20,56,62,1
2019,20,63,69,0
2019,20,88,89,-1
2019,20,77,91,0
2019,20,68,67,-1
2019,21,67,91,0
2019,21,68,65,-1
2019,21,62,74,-1
2019,21,65,77,1
2019,21,84,65,1
2019,21,65,56,1
2019,21,89,63,1
2019,21,63,88,-1
2019,21,69,68,0
2019,22,74,56,-1
2019,22,62,63,1
2019,22,77,62,1
2019,22,91,69,1
2019,22,67,65,1
2019,22,69,69,-1
2019,22,65,65,0
2019,22,88,84,1
2019,22,65,89,-1
2019,23,84,69,-1
2019,23,65,92,-1
2019,23,63,67,-1
2019,23,62,65,0
2019,23,69,77,0
2019,23,56,62,1
2019,23,64,74,1
2019,23,69,88,0
2019,23,89,65,1
2019,24,65,64,1
2019,24,62,65,1
2019,24,67,69,0
2019,24,92,89,-1
2019,24,66,56,0
2019,24,69,63,1
2019,24,74,84,-1
2019,24,88,62,1
2019,24,77,69,1
2019,25,66,74,0
2019,25,68,68,1
2019,25,85,77,1
2019,25,65,88,-1
2019,25,56,65,0
2019,25,62,62,1
2019,25,69,65,0
2019,25,63,91,-1
2019,25,89,68,0
2019,26,87,56,1
2019,26,68,62,0
2019,26,69,85,-1
2019,26,77,65,1
2019,26,91,68,1
2019,26,65,66,-1
2019,26,62,74,-1
2019,26,68,90,-1
2019,26,65,63,0
2019,27,61,68,-1
2019,27,84,91,-1
2019,27,66,87,-1
2019,27,57,77,1
2019,27,89,65,1
2019,27,68,62,1
2019,27,73,65,-1
2019,27,65,69,1
2019,27,62,69,-1
2019,28,92,65,1
2019,28,69,57,0
2019,28,62,65,0
2019,28,77,66,1
2019,28,68,84,1
2019,28,69,68,1
2019,28,62,89,-1
2019,28,88,73,1
2019,28,65,61,1
2019,29,66,69,0
2019,29,57,68,0
2019,29,62,92,-1
2019,29,65,88,-1
2019,29,73,77,1
2019,29,68,62,1
2019,29,65,62,1
2019,29,84,65,1
2019,29,89,69,1
2019,30,65,65,1
2019,30,69,62,0
2019,30,62,88,-1
2019,30,77,65,-1
2019,30,69,73,-1
2019,30,68,66,-1
2019,30,62,84,-1
2019,30,92,57,1
2019,30,89,68,1
2019,31,73,92,0
2019,31,57,69,0
2019,31,61,62,1
2019,31,88,77,1
2019,31,65,69,1
2019,31,66,62,1
2019,31,68,65,1
2019,31,84,89,-1
2019,31,65,68,1
2019,32,68,73,-1
2019,32,62,65,0
2019,32,69,84,1
2019,32,89,61,1
2019,32,92,65,1
2019,32,65,57,-1
2019,32,69,88,-1
2019,32,77,62,0
2019,32,69,65,-1
2019,33,65,68,-1
2019,33,57,62,0
2019,33,61,68,1
2019,33,65,84,1
2019,33,88,65,0
2019,33,65,69,-1
2019,33,77,69,1
2019,33,62,92,-1
2019,33,73,89,-1
2019,34,69,61,1
2019,34,84,61,1
2019,34,61,66,1
2019,34,69,65,-1
2019,34,69,73,-1
2019,34,89,57,1
2019,34,91,88,1
2019,34,65,65,1
2019,34,68,76,-1
2018,1,63,87,-1
2018,1,69,69,0
2018,1,64,63,1
2018,1,65,61,0
2018,1,75,71,1
2018,1,75,72,1
2018,1,89,73,1
2018,1,90,82,1
2018,1,77,66,1
2018,2,88,69,1
2018,2,69,65,0
2018,2,71,75,1
2018,2,63,75,-1
