Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,9,eerste_divisie,18,38,0,2,0,3,24,8,0,0,16,0,9.0,8,0,0,16,0,12,0,0,0,8,0,16,0.0,0,0,8,0,16,9.0,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,9,eerste_divisie,18,38,2,0,1,18,0,0,0,8,0,8,0.0,0,0,8,0,8,1,24,8,0,0,8,0,9.0,8,0,0,8,0,0.0,9.0,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,9,eerste_divisie,18,38,2,0,1,13,0,0,0,8,0,8,0.0,0,0,8,0,8,5,24,8,0,0,8,0,9.0,8,0,0,8,0,0.0,9.0,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,9,eerste_divisie,18,38,0,3,1,8,24,8,0,0,24,8,9.0,8,0,0,24,8,15,0,0,0,8,8,24,0.0,0,0,8,8,24,9.0,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,9,eerste_divisie,18,38,0,4,0,4,24,8,0,0,32,0,9.0,8,0,0,32,0,16,0,0,0,8,0,32,0.0,0,0,8,0,32,9.0,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,10,eerste_divisie,18,38,0,2,1,6,27,9,0,0,18,9,9.0,9,0,0,18,9,14,0,0,0,9,9,18,0.0,0,0,9,9,18,9.0,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,10,eerste_divisie,18,38,0,1,0,2,27,9,0,0,9,0,9.0,9,0,0,9,0,11,0,0,0,9,0,9,0.0,0,0,9,0,9,9.0,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,10,eerste_divisie,18,38,1,2,2,10,9,0,9,0,18,18,3.0,0,9,0,18,18,9,9,0,9,0,18,18,3.0,0,9,0,18,18,3.0,3.0,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,10,eerste_divisie,18,38,0,5,1,7,27,9,0,0,45,9,9.0,9,0,0,45,9,17,0,0,0,9,9,45,0.0,0,0,9,9,45,9.0,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,10,eerste_divisie,18,38,0,2,0,3,27,9,0,0,18,0,9.0,9,0,0,18,0,12,0,0,0,9,0,18,0.0,0,0,9,0,18,9.0,0.0,,
