,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
85,Blackburn Rovers,Reading,2-4,https://www.besoccer.com/match/blackburn-rovers-fc/reading-fc/202175682,2021,8,championship,/match/blackburn-rovers-fc/reading-fc/2021,"Tuesday, 27 October 2020, 20:45", Coote D.,2,0,2,0,Away Win
86,Brentford,Norwich City,1-1,https://www.besoccer.com/match/brentford/norwich-city-fc/202175683,2021,8,championship,/match/brentford/norwich-city-fc/2021,"Tuesday, 27 October 2020, 20:45", Simpson J.,1,0,1,0,Draw
87,Middlesbrough,Coventry City,2-0,https://www.besoccer.com/match/middlesbrough-fc/coventry-city/202175684,2021,8,championship,/match/middlesbrough-fc/coventry-city/2021,"Tuesday, 27 October 2020, 20:45", Webb D.,2,0,1,0,Home Win
88,Swansea City,Stoke City,2-0,https://www.besoccer.com/match/swansea-city-afc/stoke-city/202175685,2021,8,championship,/match/swansea-city-afc/stoke-city/2021,"Tuesday, 27 October 2020, 20:45", Marriner A.,2,0,3,0,Home Win
89,Wycombe Wanderers,Watford,1-1,https://www.besoccer.com/match/wycombe-wanderers/watford-fc/202175686,2021,8,championship,/match/wycombe-wanderers/watford-fc/2021,"Tuesday, 27 October 2020, 20:45", Brooks J.,0,0,1,0,Draw
90,Preston North End,Millwall,0-2,https://www.besoccer.com/match/preston-north-end/millwall-fc/202175691,2021,8,championship,/match/preston-north-end/millwall-fc/2021,"Wednesday, 28 October 2020, 20:00", Bond D.,2,0,0,0,Away Win
91,AFC Bournemouth,Bristol City,1-0,https://www.besoccer.com/match/afc-bournemouth/bristol-city-fc/202175687,2021,8,championship,/match/afc-bournemouth/bristol-city-fc/2021,"Wednesday, 28 October 2020, 20:45", Martin S.,0,0,0,0,Home Win
92,Birmingham City,Huddersfield Town,2-1,https://www.besoccer.com/match/birmingham-city-fc/huddersfield-town-fc/202175688,2021,8,championship,/match/birmingham-city-fc/huddersfield-town-fc/2021,"Wednesday, 28 October 2020, 20:45", Doughty L.,2,0,1,0,Home Win
93,Derby County,Cardiff City,1-1,https://www.besoccer.com/match/derby-county-fc/cardiff-city-fc/202175689,2021,8,championship,/match/derby-county-fc/cardiff-city-fc/2021,"Wednesday, 28 October 2020, 20:45", Langford O.,3,0,3,0,Draw
94,Luton Town,Nottingham Forest,1-1,https://www.besoccer.com/match/luton-town-fc/nottingham-forest-fc/202175690,2021,8,championship,/match/luton-town-fc/nottingham-forest-fc/2021,"Wednesday, 28 October 2020, 20:45", Robinson T.,3,0,0,1,Draw
95,Rotherham United,Sheffield Wednesday,3-0,https://www.besoccer.com/match/rotherham-united/sheffield-wednesday-fc/202175692,2021,8,championship,/match/rotherham-united/sheffield-wednesday-fc/2021,"Wednesday, 28 October 2020, 20:45", Gillett J.,3,0,2,1,Home Win
96,Coventry City,Reading,3-2,https://www.besoccer.com/match/coventry-city/reading-fc/202175696,2021,9,championship,/match/coventry-city/reading-fc/2021,"Friday, 30 October 2020, 20:45", Webb D.,5,0,0,0,Home Win
97,Bristol City,Norwich City,1-3,https://www.besoccer.com/match/bristol-city-fc/norwich-city-fc/202175695,2021,9,championship,/match/bristol-city-fc/norwich-city-fc/2021,"Saturday, 31 October 2020, 13:30", Gillett J.,0,0,4,0,Away Win
98,AFC Bournemouth,Derby County,1-1,https://www.besoccer.com/match/afc-bournemouth/derby-county-fc/202175693,2021,9,championship,/match/afc-bournemouth/derby-county-fc/2021,"Saturday, 31 October 2020, 16:00", Jones R.,2,0,1,0,Draw
99,Barnsley,Watford,1-0,https://www.besoccer.com/match/barnsley-fc/watford-fc/202175694,2021,9,championship,/match/barnsley-fc/watford-fc/2021,"Saturday, 31 October 2020, 16:00", Donohue M.,1,0,1,0,Home Win
100,Luton Town,Brentford,0-3,https://www.besoccer.com/match/luton-town-fc/brentford/202175697,2021,9,championship,/match/luton-town-fc/brentford/2021,"Saturday, 31 October 2020, 16:00", Salisbury G.,1,0,1,0,Away Win
101,Middlesbrough,Nottingham Forest,1-0,https://www.besoccer.com/match/middlesbrough-fc/nottingham-forest-fc/202175698,2021,9,championship,/match/middlesbrough-fc/nottingham-forest-fc/2021,"Saturday, 31 October 2020, 16:00", Mason L.,1,0,2,0,Home Win
102,Millwall,Huddersfield Town,0-3,https://www.besoccer.com/match/millwall-fc/huddersfield-town-fc/202175699,2021,9,championship,/match/millwall-fc/huddersfield-town-fc/2021,"Saturday, 31 October 2020, 16:00", Ward G.,2,0,0,0,Away Win
103,Preston North End,Birmingham City,1-2,https://www.besoccer.com/match/preston-north-end/birmingham-city-fc/202175700,2021,9,championship,/match/preston-north-end/birmingham-city-fc/2021,"Saturday, 31 October 2020, 16:00", Harrington T.,1,0,0,0,Away Win
104,Queens Park Rangers,Cardiff City,3-2,https://www.besoccer.com/match/queens-park-rangers-fc/cardiff-city-fc/202175701,2021,9,championship,/match/queens-park-rangers-fc/cardiff-city-fc/2021,"Saturday, 31 October 2020, 16:00", Woolmer A.,4,0,3,0,Home Win
105,Stoke City,Rotherham United,1-0,https://www.besoccer.com/match/stoke-city/rotherham-united/202175702,2021,9,championship,/match/stoke-city/rotherham-united/2021,"Saturday, 31 October 2020, 16:00", Bond D.,1,0,2,0,Home Win
